id_resposta_ocorrencia,logradouro,numero_porta,referencia,coordenada_x,coordenada_y,observacao,endereco_informado,valido,id_bairro,bairro_nome,id_tipo_pessoa,id_subarea,subarea_nome,tipo_pessoa_descricao,id_ocupacao_pessoa,ocupacao_pessoa_descricao,id_tipo_frequencia,tipo_frequencia_descricao,ocupacao_drogas,ocupacao_drogas_descricao,id_item_praca,item_praca_descricao,id_tipo_ocorrencia,tipo_ocorrencia_descricao,tipo_ocorrencia_ativo,orgao_responsavel,ocorrencia_informacao,id_orgao_ocorrencia,ocorrencia_orgao_nome,codigo_ocorrencia_orgao
1989,Avenida Presidente Vargas,1875,Em frente ao posto Marcela,-22.9062472,-43.1929418,Comércio irregular na calçada central,True,True,5,Centro,,19.0,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,,,,,14,Comércio irregular obstruindo a visibilidade do passeio,True,SEOP,"O agente deve identificar se no local observado há comércio com apoio de barracas, tendas ou que possam servir de anteparo visual entre a pista de rolagem e o passeio ou entre os passeios do logradouro. 
O objetivo desta ocorrência é identificar pontos de passagem que possam ocultar os transeuntes fazendo com que eles não sejam visíveis por quem esteja no passeio oposto ou na pista de rolagem, conforme exemplo abaixo: 
<br>
<img>",4,SEOP,3900
1775,Avenida Pastor Martin Luther King Junior,1300,CALÇADA DO CEMITÉRIO DE INHAÚMA,-22.875267669995285,-43.28082589260716,"2ª ÁRVORE
Vegetal em contato com a rede de energia elétrica de média tensão",False,,54,Inhauma,,7.0,Estação Del Castilho - Norte Shopping,,,,,,,,,,5,Vegetação obstruindo a visibilidade do passeio,True,COMLURB,"O agente deve identificar se há presença de vegetação que sirva de anteparo visual entre a pista de rolagem e o passeio ou entre os passeios do logradouro. O objetivo desta ocorrência é identificar pontos de passagem que possam ocultar os transeuntes fazendo com que eles não sejam visíveis por quem esteja no passeio oposto ou na pista de rolagem, conforme exemplo abaixo: 
<br>
<img>",1,COMLURB,4351
1759,Rua Bambina,,,-22.944796867390053,-43.18542250074025,,False,True,20,Botafogo,,17.0,Praia de Botafogo - Rua Marquês de Abrantes,,,,,,,,,,14,Comércio irregular obstruindo a visibilidade do passeio,True,SEOP,"O agente deve identificar se no local observado há comércio com apoio de barracas, tendas ou que possam servir de anteparo visual entre a pista de rolagem e o passeio ou entre os passeios do logradouro. 
O objetivo desta ocorrência é identificar pontos de passagem que possam ocultar os transeuntes fazendo com que eles não sejam visíveis por quem esteja no passeio oposto ou na pista de rolagem, conforme exemplo abaixo: 
<br>
<img>",4,SEOP,3900
3268,Travessa dos Tamoios,40,Todo Trecho,-22.93482383334279,-43.17693089240318,,False,True,15,Flamengo,,17.0,Praia de Botafogo - Rua Marquês de Abrantes,,,,,,,,,,7,Área mal iluminada com circulação de pedestres,True,Rio Luz,"O agente deve identificar se há escuridão sobre trechos onde haja circulação de pessoas. Devem ser especialmente considerados: <br> 

Pontos de ônibus <br>
Acessos de estações de metrô e trem <br>
Acessos à passarelas <br>
Passagens subterrâneas<br>
Pontos de travessia de logradouros (sinais) <br>

O agente não necessita avaliar pontos de escuridão onde não haja circulação de pedestres como tais como fachadas e monumentos. Veja o exemplo abaixo: 
<img>",3,Rio Luz,1552
2237,Rua Vinte e Quatro de Maio,4414,,-22.903804022840177,-43.27586717974328,"Calçada estreita,  sem lixo ou entulho",False,,61,Engenho Novo,,10.0,Estação Méier - Cachambi,,,,,,,,,,6,Lixo/entulho forçando pedestres à pista,True,COMLURB,"O agente deve identificar se acúmulo de resíduos sólidos (lixo ou entulho)  sobre o passeio que forcem os pedestres a transitarem sobre a pista de rolagem ou muito próximo ao meio fio, conforme imagens abaixo: 
<br>
<img>
<br>
Caso o agente tenha conhecimento de alguma dinâmica de descarte específico, as informações devem ser inseridas no campo “observação”, conforme exemplo abaixo: 
<br>
Exemplo: Ponto de descarte irregular com depósito periódico de resíduos.",1,COMLURB,4351
1223,Avenida Presidente Vargas,322,,-22.90904563334916,-43.204013536457815,Corredor BRS. Avanço de sinal vermelho. Desrespeito à travessia de pedestres. Motociclista em alta velocidade e em condução perigosa.,False,True,8,Cidade Nova,,21.0,Rodoviária - Terminal Gentileza - Estação Leopoldina,,,,,,,,,,22,Ponto de retenção do tráfego,True,CET-Rio,"O agente deve identificar se há pontos de retenção de tráfego viário, provocados ou não por elementos indesejados tais como buracos, falta de sinalização, má sincronização de sinaleiras e ou desobediência de sinalização existente. 
Nos casos de pontos de retenção frequentes o agente deve informar, no campo “observações” os dias e horários aproximados em que o fenômeno acontece, conforme exemplo abaixo:<br>

Exemplo: Das segundas às sextas, entre 7h e 9h e 17h e 20h30.",2,CET-Rio,2951
3178,Rua do Passeio,78,Em frente ao antigo Automóvel clube do Brasil,-22.913264550460344,-43.17751824569075,A via fica congestionada devido ao estacionamento dos dois lados principalmente a partir das 17 horas.,False,True,5,Centro,,19.0,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,,,,,,,,,,22,Ponto de retenção do tráfego,True,CET-Rio,"O agente deve identificar se há pontos de retenção de tráfego viário, provocados ou não por elementos indesejados tais como buracos, falta de sinalização, má sincronização de sinaleiras e ou desobediência de sinalização existente. 
Nos casos de pontos de retenção frequentes o agente deve informar, no campo “observações” os dias e horários aproximados em que o fenômeno acontece, conforme exemplo abaixo:<br>

Exemplo: Das segundas às sextas, entre 7h e 9h e 17h e 20h30.",2,CET-Rio,2951
1712,Rua Visconde de Pirajá,,,-22.98430603116048,-43.20382639004225,,False,,25,Ipanema,,12.0,General Osório - Nossa Senhora da Paz,,,,,,,,,,19,Pessoas em situação de rua,True,SMAS,A constatação se dá por observação in loco.,7,SMAS,1700
1555,Rua Castro Alves,264,,-22.8962702,-43.2801742,,False,,63,Meier,,10.0,Estação Méier - Cachambi,,,,,,,,,,5,Vegetação obstruindo a visibilidade do passeio,True,COMLURB,"O agente deve identificar se há presença de vegetação que sirva de anteparo visual entre a pista de rolagem e o passeio ou entre os passeios do logradouro. O objetivo desta ocorrência é identificar pontos de passagem que possam ocultar os transeuntes fazendo com que eles não sejam visíveis por quem esteja no passeio oposto ou na pista de rolagem, conforme exemplo abaixo: 
<br>
<img>",1,COMLURB,4351
2860,Rua São Francisco Xavier,553,"Rua São Francisco Xavier, da Rua Marã até a Rua Felipe Camarão - ponto 2",-22.91236539865132,-43.23659015579718,"Ponto sem vandalismo, porém com pouco iluminação, o que pode favorecer praticas de violência.",False,True,35,Maracanã,,8.0,Estação Maracanã - UERJ,,,,,,,,,,26,Ponto de ônibus com histórico de vandalismo,True,SMTR,"O agente deve identificar se há pontos de embarque ou desembarque de coletivos onde há histórico de  vandalismo e/ou depredação que, em geral, possam ser ocasionados por falha na prestação do serviço, tais como: <br>
- Redução da frota<br> 
- Desvio de itinerário <br>
- Não parada nos pontos obrigatórios<br>
- Parada distante dos pontos  previamente estabelecidos",8,SMTR,2900
3146,Rua Redentor,353,,-22.98204895146768,-43.21416044721318,,False,True,25,Ipanema,,13.0,Jardim de Alah,Famílias ou casais,,Sinais de uso como moradia,,,,,,,19,Pessoas em situação de rua,True,SMAS,A constatação se dá por observação in loco.,7,SMAS,1700
3047,Avenida Atlântica,2113,,-22.969437827194746,-43.18178385300094,Não foi verificado veículos obstruindo a visibilidade de pedestre.,False,,24,Copacabana,,3.0,Av Atlântica - Av Barata Ribeiro,,,,,,,,,,16,Veículos de grande porte obstruindo a visibilidade,True,SEOP,"O agente deve identificar se há pontos de estacionamento de veículos de médio ou grande porte que eventualmente sirvam de anteparo visual entre a pista de rolagem e o passeio ou entre os passeios do logradouro. O objetivo desta ocorrência é identificar pontos de passagem que possam ocultar os transeuntes fazendo com que eles não sejam visíveis por quem esteja no passeio oposto ou na pista de rolagem, conforme exemplo abaixo:<br> 
<img><br>
Observação: O agente deve relatar mesmo os pontos regulares de estacionamento e ou parada de veículos.",4,SEOP,3900
1117,Rua São Francisco Xavier,541,,-22.91276,-43.2363289,Poda de uma árvore,False,True,35,Maracanã,,8.0,Estação Maracanã - UERJ,,,,,,,,,,27,Vegetação encobrindo iluminação pública,True,COMLURB,"O agente deve identificar se há copas, galhos ou arbustos que encubram estruturas de iluminação e ou câmeras, causando pontos de escuridão sobre trechos onde haja circulação de pessoas. O agente não necessita avaliar pontos de escuridão onde não haja circulação de pedestres como tais como fachadas e monumentos. Veja os exemplos abaixo: <br>
<img>
<br>
Observação: Essa ocorrência deve ser observada no período noturno.",1,COMLURB,4351
692,Rua Ana Barbosa,97,,-22.902137115854934,-43.28024779171647,,False,,63,Meier,,10.0,Estação Méier - Cachambi,Adulto,,De maneira transitória,,,,,,,19,Pessoas em situação de rua,True,SMAS,A constatação se dá por observação in loco.,7,SMAS,1700
1472,Rua Conselheiro Agostinho,27,,-22.890416584058375,-43.283995638977565,Vegetal em contato com a rede de energia elétrica de média tensão,False,,64,Todos os Santos,,7.0,Estação Del Castilho - Norte Shopping,,,,,,,,,,27,Vegetação encobrindo iluminação pública,True,COMLURB,"O agente deve identificar se há copas, galhos ou arbustos que encubram estruturas de iluminação e ou câmeras, causando pontos de escuridão sobre trechos onde haja circulação de pessoas. O agente não necessita avaliar pontos de escuridão onde não haja circulação de pedestres como tais como fachadas e monumentos. Veja os exemplos abaixo: <br>
<img>
<br>
Observação: Essa ocorrência deve ser observada no período noturno.",1,COMLURB,4351
3359,Rua Professor Álvaro Rodrigues,,ao longo,-22.952835141086847,-43.18488691550453,,False,True,20,Botafogo,,15.0,Metrô Botafogo - Rua São Clemente - Rua Voluntários da Pátria,,,,,,,,,,7,Área mal iluminada com circulação de pedestres,True,Rio Luz,"O agente deve identificar se há escuridão sobre trechos onde haja circulação de pessoas. Devem ser especialmente considerados: <br> 

Pontos de ônibus <br>
Acessos de estações de metrô e trem <br>
Acessos à passarelas <br>
Passagens subterrâneas<br>
Pontos de travessia de logradouros (sinais) <br>

O agente não necessita avaliar pontos de escuridão onde não haja circulação de pedestres como tais como fachadas e monumentos. Veja o exemplo abaixo: 
<img>",3,Rio Luz,1552
2716,Rua Campo Grande,1110,Receita Federal,-22.9018445,-43.5602743,ponto final linha 841,False,True,144,Campo Grande,,6.0,Campo Grande: Estação de Trem - Calçadão,,,,,,,,,,26,Ponto de ônibus com histórico de vandalismo,True,SMTR,"O agente deve identificar se há pontos de embarque ou desembarque de coletivos onde há histórico de  vandalismo e/ou depredação que, em geral, possam ser ocasionados por falha na prestação do serviço, tais como: <br>
- Redução da frota<br> 
- Desvio de itinerário <br>
- Não parada nos pontos obrigatórios<br>
- Parada distante dos pontos  previamente estabelecidos",8,SMTR,2900
